threshold,cluster_n,within_rs,between_rs,seperation,selected_vars
1,5,0.7167158372361109,0.004113006398534644,0.7126028308375763,"['exposure', 'veh_age', 'max_power', 'credit_score', 'fold', 'veh_body_rdstr', 'time_of_week_driven_weekday', 'gender_f', 'engine_type_dissel', 'time_driven_12am6am', 'veh_body_hdtop', 'area_c', 'time_driven_12pm6pm', 'veh_body_panvn', 'veh_body_bus', 'veh_color_brown', 'veh_color_yellow', 'area_e', 'veh_body_sedan', 'veh_body_stnwg', 'veh_body_suv', 'veh_color_black', 'area_f', 'veh_body_mibus', 'veh_color_silver', 'marital_status_m', 'time_driven_6am12pm', 'veh_color_green', 'veh_body_convt', 'time_of_week_driven_weekend', 'veh_body_mcara', 'time_driven_6pm12am', 'veh_color_white', 'area_a', 'area_d', 'marital_status_s', 'engine_type_electric', 'veh_color_blue', 'engine_type_petrol', 'veh_color_gray', 'veh_body_truck', 'veh_body_ute', 'veh_body_coupe', 'veh_color_red', 'gender_m', 'area_b', 'engine_type_hybrid']"
2,1,0.6718614499992108,0.0,0.6718614499992108,"['exposure', 'veh_body_rdstr', 'time_of_week_driven_weekday', 'gender_f', 'engine_type_dissel', 'time_driven_12am6am', 'veh_body_hdtop', 'area_c', 'time_driven_12pm6pm', 'veh_body_panvn', 'veh_body_bus', 'veh_color_brown', 'veh_color_yellow', 'area_e', 'veh_body_sedan', 'veh_body_stnwg', 'veh_body_suv', 'veh_color_black', 'area_f', 'veh_body_mibus', 'veh_color_silver', 'marital_status_m', 'time_driven_6am12pm', 'veh_color_green', 'veh_body_convt', 'time_of_week_driven_weekend', 'veh_body_mcara', 'time_driven_6pm12am', 'veh_color_white', 'area_a', 'area_d', 'marital_status_s', 'engine_type_electric', 'veh_color_blue', 'engine_type_petrol', 'veh_color_gray', 'veh_body_truck', 'veh_body_ute', 'veh_body_coupe', 'veh_color_red', 'gender_m', 'area_b', 'engine_type_hybrid']"
3,1,0.6718614499992108,0.0,0.6718614499992108,"['exposure', 'veh_body_rdstr', 'time_of_week_driven_weekday', 'gender_f', 'engine_type_dissel', 'time_driven_12am6am', 'veh_body_hdtop', 'area_c', 'time_driven_12pm6pm', 'veh_body_panvn', 'veh_body_bus', 'veh_color_brown', 'veh_color_yellow', 'area_e', 'veh_body_sedan', 'veh_body_stnwg', 'veh_body_suv', 'veh_color_black', 'area_f', 'veh_body_mibus', 'veh_color_silver', 'marital_status_m', 'time_driven_6am12pm', 'veh_color_green', 'veh_body_convt', 'time_of_week_driven_weekend', 'veh_body_mcara', 'time_driven_6pm12am', 'veh_color_white', 'area_a', 'area_d', 'marital_status_s', 'engine_type_electric', 'veh_color_blue', 'engine_type_petrol', 'veh_color_gray', 'veh_body_truck', 'veh_body_ute', 'veh_body_coupe', 'veh_color_red', 'gender_m', 'area_b', 'engine_type_hybrid']"
4,1,0.6718614499992108,0.0,0.6718614499992108,"['exposure', 'veh_body_rdstr', 'time_of_week_driven_weekday', 'gender_f', 'engine_type_dissel', 'time_driven_12am6am', 'veh_body_hdtop', 'area_c', 'time_driven_12pm6pm', 'veh_body_panvn', 'veh_body_bus', 'veh_color_brown', 'veh_color_yellow', 'area_e', 'veh_body_sedan', 'veh_body_stnwg', 'veh_body_suv', 'veh_color_black', 'area_f', 'veh_body_mibus', 'veh_color_silver', 'marital_status_m', 'time_driven_6am12pm', 'veh_color_green', 'veh_body_convt', 'time_of_week_driven_weekend', 'veh_body_mcara', 'time_driven_6pm12am', 'veh_color_white', 'area_a', 'area_d', 'marital_status_s', 'engine_type_electric', 'veh_color_blue', 'engine_type_petrol', 'veh_color_gray', 'veh_body_truck', 'veh_body_ute', 'veh_body_coupe', 'veh_color_red', 'gender_m', 'area_b', 'engine_type_hybrid']"
5,1,0.6718614499992108,0.0,0.6718614499992108,"['exposure', 'veh_body_rdstr', 'time_of_week_driven_weekday', 'gender_f', 'engine_type_dissel', 'time_driven_12am6am', 'veh_body_hdtop', 'area_c', 'time_driven_12pm6pm', 'veh_body_panvn', 'veh_body_bus', 'veh_color_brown', 'veh_color_yellow', 'area_e', 'veh_body_sedan', 'veh_body_stnwg', 'veh_body_suv', 'veh_color_black', 'area_f', 'veh_body_mibus', 'veh_color_silver', 'marital_status_m', 'time_driven_6am12pm', 'veh_color_green', 'veh_body_convt', 'time_of_week_driven_weekend', 'veh_body_mcara', 'time_driven_6pm12am', 'veh_color_white', 'area_a', 'area_d', 'marital_status_s', 'engine_type_electric', 'veh_color_blue', 'engine_type_petrol', 'veh_color_gray', 'veh_body_truck', 'veh_body_ute', 'veh_body_coupe', 'veh_color_red', 'gender_m', 'area_b', 'engine_type_hybrid']"
99,0,0.0,0.0,0.0,"['max_power', 'credit_score', 'veh_age', 'veh_body_rdstr', 'time_of_week_driven_weekday', 'gender_f', 'engine_type_dissel', 'time_driven_12am6am', 'veh_body_hdtop', 'area_c', 'time_driven_12pm6pm', 'veh_body_panvn', 'veh_body_bus', 'veh_color_brown', 'veh_color_yellow', 'area_e', 'veh_body_sedan', 'veh_body_stnwg', 'veh_body_suv', 'veh_color_black', 'area_f', 'veh_body_mibus', 'veh_color_silver', 'marital_status_m', 'time_driven_6am12pm', 'veh_color_green', 'veh_body_convt', 'time_of_week_driven_weekend', 'veh_body_mcara', 'time_driven_6pm12am', 'veh_color_white', 'area_a', 'area_d', 'marital_status_s', 'engine_type_electric', 'veh_color_blue', 'engine_type_petrol', 'veh_color_gray', 'veh_body_truck', 'veh_body_ute', 'veh_body_coupe', 'veh_color_red', 'gender_m', 'area_b', 'engine_type_hybrid']"
